"ID","Sexe","Age","Contrat","Temps","Encadre","Ancienne","Secteur","TailleOr","PGC2","PGC3","PGC4","CSE4","CSE5","CSA5","EVPVP3","EVPVP4","EVPVP5","RECO1","RECO3","RECO5","JUST3","JUST4","JUST6","PPD1","PPD2","PPD3","COM3","COM4","COM5","DL3","DL4","DL5","PI1","PI2","PI3","PD1","PD3","PD5","ENG1","ENG2","ENG3","EPUI1","EPUI2","EPUI3","EPUI4","EPUI5"
"1358","2","27","1","1","1","5","1","5","3","2","4","3","2","2","4","4","4","3","3","3","2","3","4","2","3","2","4","4","3","3","3","3","3","3","2","4","3","4","2","2","2","3","3","4","3","4"
"1359","2","27","1","1","2","2","1","3","3","1","3","1","3","3","1","3","3","4","4","4","1","1","1","1","1","2","2","2","2","2","3","1","3","3","3","2","3","2","2","2","3","5","5","5","5","5"
"1360","2","25","1","1","1","2","1","3","4","4","4","3","2","2","1","5","1","5","3","3","2","2","2","2","4","4","3","4","4","4","4","3","4","4","2","4","4","4","4","4","3","1","1","1","1","1"
"1361","2","33","1","1","1","","2","3","4","4","5","2","3","5","3","4","4","3","3","3","4","1","5","1","1","1","3","3","5","2","2","2","5","3","3","2","2","2","3","4","3","1","1","1","1","3"
"1362","2","38","1","1","2","0.58","1","2","3","3","1","1","2","1","1","1","2","1","2","1","4","4","1","3","2","3","2","1","2","5","3","1","3","3","1","1","2","1","2","4","5","2","5","5","4","2"
"1363","2","20","2","1","1","2","2","2","3","2","1","4","2","1","2","1","5","4","3","4","1","2","1","4","1","1","3","2","3","3","3","1","3","1","1","1","1","1","5","4","4","4","5","5","5","4"
"1364","2","20","1","1","1","0.41","3","5","4","4","5","4","3","5","5","5","5","5","4","5","4","3","4","2","2","2","5","4","3","4","4","4","5","5","3","3","2","4","3","3","3","1","2","2","1","1"
"1365","2","25","1","1","1","1","1","3","3","4","4","4","4","4","3","5","3","3","4","4","3","4","3","3","3","2","3","5","4","3","4","3","4","3","4","4","4","4","2","4","4","2","2","2","2","2"
"1366","2","21","1","1","1","0.33","1","1","2","3","2","1","1","1","1","1","4","1","3","1","5","1","2","1","2","3","4","5","3","1","3","3","2","3","3","3","4","4","4","4","4","4","4","3","2","1"
"1367","2","29","1","1","1","1.5","2","1","5","3","3","5","3","3","3","4","5","4","5","4","5","5","5","5","4","5","5","5","5","3","5","3","5","5","1","3","3","5","2","1","1","1","1","1","1","1"
"1368","2","23","1","1","1","0.5","1","3","2","2","3","2","1","1","2","2","1","2","3","1","2","3","4","1","1","1","3","3","1","3","1","3","2","2","1","1","1","1","4","5","2","2","4","3","4","2"
"1369","2","29","2","1","1","1.41","2","3","3","4","3","3","2","3","4","3","4","2","2","1","2","2","3","1","2","1","3","2","2","2","2","2","4","4","1","2","2","2","2","5","3","5","5","5","4","3"
"1370","2","36","1","1","2","6","1","5","3","3","2","1","1","1","2","3","2","3","3","3","2","1","2","1","1","1","3","2","3","1","2","1","2","3","3","1","2","2","3","4","5","5","5","4","5","2"
"1371","2","26","1","1","1","6","1","2","5","5","5","5","5","5","5","3","5","5","5","5","5","5","5","3","3","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","3","5","1","1"
"1372","2","50","1","1","1","30","1","5","4","3","4","4","3","4","3","5","5","4","4","4","3","4","4","3","3","3","4","5","4","3","4","4","5","4","4","3","3","4","3","3","3","4","4","4","4","3"
"1373","2","28","1","1","1","0.33","1","3","4","4","5","5","3","4","2","3","3","3","2","4","3","3","3","1","2","2","4","5","4","4","4","4","4","5","1","4","4","5","3","4","3","2","4","5","4","1"
"1374","2","25","1","1","2","7","1","1","3","4","3","3","3","2","1","1","3","3","3","3","5","3","5","2","3","3","4","3","3","3","3","4","5","3","3","3","3","4","3","5","4","2","4","5","4","2"
"1375","2","38","1","1","1","4","1","4","4","4","4","2","2","2","4","4","4","2","2","2","2","2","2","2","2","2","4","4","4","2","2","2","4","4","4","4","4","4","1","4","2","4","4","5","5","4"
"1376","2","26","1","1","1","6","1","2","5","4","2","5","2","4","3","3","4","4","4","2","3","4","3","2","2","4","2","4","2","3","4","2","4","4","3","5","5","5","4","5","2","3","3","1","3","2"
"1377","2","24","2","1","1","1","3","5","3","2","4","3","4","3","4","5","3","4","3","4","4","3","4","3","3","3","2","3","4","2","3","3","4","3","3","3","3","3","2","1","2","2","2","4","2","3"
"1378","2","24","1","1","1","0.5","2","3","4","4","3","3","4","4","4","3","5","5","4","4","3","4","4","2","3","2","3","4","4","3","4","3","4","4","4","3","3","3","4","4","3","2","3","2","2","2"
"1379","2","29","1","1","1","5","1","2","3","1","5","1","1","1","1","1","1","1","1","1","5","1","1","1","1","1","1","1","1","1","1","1","3","1","3","1","1","1","1","1","5","5","5","5","5","5"
"1380","2","25","1","1","1","1","1","3","2","4","3","2","3","2","1","2","4","3","2","2","2","2","4","1","1","2","2","3","3","2","3","2","2","3","2","2","4","4","1","2","5","5","5","5","4","4"
"1381","2","29","1","2","1","5","1","3","4","3","2","2","1","2","2","1","3","3","4","4","1","1","1","1","1","1","4","2","2","1","2","1","3","2","1","1","1","3","1","1","1","4","5","5","5","4"
"1382","2","25","1","1","3","2","1","1","2","3","4","3","4","3","1","1","1","5","5","5","5","4","4","2","2","3","3","4","4","3","3","4","5","5","5","2","2","2","3","3","5","2","5","5","4","1"
