"ID","Sexe","Age","Contrat","Temps","Encadre","Ancienne","Secteur","TailleOr","PGC2","PGC3","PGC4","CSE4","CSE5","CSA5","EVPVP3","EVPVP4","EVPVP5","RECO1","RECO3","RECO5","JUST3","JUST4","JUST6","PPD1","PPD2","PPD3","COM3","COM4","COM5","DL3","DL4","DL5","PI1","PI2","PI3","PD1","PD3","PD5","ENG1","ENG2","ENG3","EPUI1","EPUI2","EPUI3","EPUI4","EPUI5"
"1","2","39","1","1","3","10.00","1","2","4","4","3","4","4","4","4","2","2","4","4","4","4","4","4","2","3","4","4","4","4","3","4","3","4","4","4","3","3","4","5","5","3","2","4","2","3","2"
"2","1","60","1","1","1","36.00","1","5","4","4","4","4","4","4","4","4","4","4","4","3","4","4","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","3","2","3","3","3","2"
"3","1","35","1","1","3","5.00","1","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","2","2","2","2"
"4","1","58","3","1","2","0.08","1","2","2","2","2","2","2","2","2","2","2","2","2","2","4","3","4","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","4","4","2","3","4","4","4","4"
"5","2","50","1","1","1","14.00","2","2","3","3","4","4","4","3","2","1","1","4","3","4","2","3","3","1","1","2","3","3","3","3","3","2","4","4","4","3","4","4","3","4","3","2","4","3","4","2"
"6","1","52","3","1","1","15.00","1","1","1","1","4","1","2","1","1","4","4","4","1","2","2","3","4","1","1","1","2","1","2","1","1","3","1","2","1","1","1","1","2","1","1","3","5","5","5","5"
"7","1","30","1","1","2","8.00","1","3","4","2","2","3","1","3","3","4","3","3","3","2","2","3","3","2","2","3","3","4","3","3","3","2","3","3","3","2","2","2","5","4","4","4","4","4","5","3"
"8","1","34","2","1","1","0.75","1","3","4","3","3","4","4","4","4","3","3","4","4","3","3","3","3","3","3","4","4","4","4","3","3","3","4","3","3","3","3","3","3","3","2","3","3","4","3","3"
"9","1","55","1","1","3","15.00","1","2","4","4","5","4","4","5","4","4","4","4","4","4","4","4","5","5","5","3","5","4","4","3","4","5","4","4","4","5","4","4","4","5","4","2","4","4","3","2"
"10","2","33","1","1","1","5.00","1","4","3","3","3","2","2","3","3","3","2","3","3","3","3","2","3","2","2","2","3","3","3","3","3","3","3","3","3","1","3","2","3","3","3","2","4","4","3","3"
"11","1","56","1","2","1","12.00","1","5","4","4","4","4","4","3","4","4","4","3","5","4","5","4","3","4","4","4","3","4","5","4","3","4","3","4","4","4","4","4","4","4","3","2","2","2","2","2"
"12","1","25","1","1","3","5.00","1","4","4","4","3","3","3","3","4","4","3","3","4","3","3","2","3","3","3","2","4","4","4","3","4","3","4","4","4","3","4","4","2","2","2","2","3","3","2","4"
"13","1","51","1","1","1","19.00","2","5","3","3","3","3","2","4","4","4","3","2","2","2","2","2","2","2","2","2","3","3","3","2","2","2","4","3","2","3","2","2","2","1","1","2","3","3","2","3"
"14","1","47","1","1","1","23.00","2","3","2","1","3","4","2","2","1","1","2","2","3","1","2","1","2","1","1","2","4","4","2","3","3","3","2","2","2","2","1","1","2","1","1","4","4","3","3","5"
"15","2","48","2","2","1","5.00","1","3","4","4","4","5","4","5","4","3","4","4","4","4","5","4","5","3","3","4","5","4","3","4","4","4","4","4","5","4","4","4","4","3","3","1","2","2","3","4"
"16","1","34","1","1","2","5.00","1","1","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","3","3","3","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","2","2","2","2","2"
"17","1","36","1","1","3","8.00","1","4","5","4","4","5","2","4","5","3","4","4","4","4","3","5","4","3","4","4","5","4","3","5","5","4","4","4","4","5","5","3","4","5","4","1","2","3","5","4"
"18","1","53","1","1","2","7.00","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"19","2","27","1","1","1","1.50","1","2","4","4","4","4","4","4","3","3","3","5","4","4","4","4","5","3","3","4","4","5","4","4","4","4","4","4","4","4","5","4","4","4","4","2","3","3","3","2"
"20","1","26","1","1","2","6.00","1","5","3","4","5","3","3","2","4","4","3","3","2","4","1","1","3","2","4","4","4","2","3","2","4","4","3","3","2","3","5","4","3","3","4","3","1","4","3","4"
"21","1","43","1","1","1","4.00","1","3","4","4","3","3","3","3","4","4","4","4","4","3","4","4","4","3","4","3","5","5","4","4","4","3","3","4","3","3","3","4","4","4","3","3","4","2","3","2"
"22","2","55","1","1","1","36.00","1","4","3","2","3","1","4","3","1","1","1","1","2","2","3","1","1","1","1","1","4","3","2","1","3","2","3","3","1","1","1","2","1","2","2","3","3","2","3","3"
"23","1","60","1","1","2","35.00","3","1","5","5","3","4","3","5","2","1","4","5","5","5","5","5","5","4","4","5","5","5","5","5","5","4","5","5","5","3","5","5","5","5","5","1","1","1","1","1"
"24","2","59","1","1","1","32.00","2","1","4","2","4","2","3","3","1","1","2","2","2","2","4","2","4","1","1","1","3","4","3","2","2","3","4","4","3","3","3","3","4","4","3","3","4","3","4","2"
"25","2","36","1","1","1","3.00","1","1","4","4","1","2","2","3","2","1","4","5","5","5","5","5","5","5","4","4","5","5","5","1","2","3","5","5","2","2","3","2","4","5","5","2","4","4","3","1"
"26","2","57","1","1","1","36.00","2","5","4","4","3","3","3","3","3","4","3","3","3","3","4","3","3","1","1","2","3","4","2","3","3","3","3","3","3","3","4","4","3","4","4","3","4","3","4","1"
"27","2","28","2","1","1","2.00","1","2","3","4","4","5","4","3","4","2","2","3","3","3","3","4","2","3","3","3","2","2","3","3","2","4","2","4","2","4","3","4","1","3","2","3","2","2","5","3"
"28","1","28","1","1","1","1.00","1","2","4","4","4","4","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","1","1","1","1","1"
"29","2","47","1","1","2","23.00","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1","1"
"30","2","21","2","1","1","1.00","1","1","2","2","2","3","3","2","4","2","2","4","3","2","2","3","3","2","3","2","3","2","2","2","2","2","3","3","3","1","2","2","3","3","3","3","3","3","1","3"
"31","1","24","1","1","1","2.00","1","3","4","4","4","5","3","4","1","4","3","3","3","5","4","3","4","4","4","4","4","3","2","3","3","4","2","4","4","3","4","1","3","3","5","4","3","3","3","3"
"32","2","38","1","1","1","17.33","2","3","3","4","3","4","2","3","4","1","4","4","3","2","2","4","3","3","2","3","4","4","2","3","4","3","4","4","4","3","4","3","4","3","4","3","4","4","3","4"
"33","1","52","1","1","3","10.00","1","2","3","4","4","4","4","4","4","1","4","5","5","4","5","5","5","4","4","5","5","4","5","5","5","4","5","5","4","4","4","4","5","5","5","1","1","1","1","2"
"34","2","41","2","2","1","0.67","2","5","4","4","5","2","3","3","2","1","4","4","4","3","4","3","4","2","2","2","5","4","3","4","4","4","4","3","3","4","3","3","4","4","2","1","2","1","1","1"
"35","1","21","1","2","1","0.42","1","2","3","4","3","4","2","2","5","5","5","4","4","4","4","3","3","1","2","3","2","5","5","2","4","3","4","3","5","3","4","4","2","1","2","1","2","3","2","3"
"36","1","56","1","1","2","","1","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"37","1","44","1","1","2","18.00","2","2","4","4","4","3","3","4","2","2","2","4","4","4","3","4","3","2","3","2","5","5","4","2","4","3","3","4","4","3","3","3","4","4","4","2","2","2","2","2"
"38","2","35","1","1","2","10.00","2","5","4","3","4","5","4","4","4","5","5","2","3","2","3","4","3","2","2","3","4","4","3","3","4","4","4","3","3","3","3","4","4","4","3","3","2","2","2","2"
"39","2","35","1","1","1","12.00","2","5","4","3","3","3","3","3","4","4","4","3","3","3","4","4","4","2","3","2","3","3","3","3","2","4","4","4","2","2","2","2","4","3","3","2","3","3","3","4"
"40","1","57","1","1","1","5.00","1","2","4","4","4","3","3","4","3","3","4","3","4","3","3","4","4","3","4","4","3","3","3","4","4","4","3","4","4","4","3","3","4","3","4","2","2","2","2","2"
"41","1","38","1","1","1","1.50","1","5","4","3","4","4","3","3","4","5","4","4","4","2","2","3","4","1","2","1","3","2","4","3","3","4","5","4","3","4","4","4","2","2","2","1","1","1","2","4"
"42","1","43","1","1","1","10.00","1","2","4","4","4","4","4","4","3","2","4","4","4","4","4","4","4","3","4","3","4","4","4","4","4","4","4","4","4","3","4","5","4","4","3","1","3","3","3","2"
"43","1","52","1","1","2","24.00","2","5","4","4","3","3","4","4","2","3","1","2","4","3","4","4","3","1","2","1","4","4","2","4","4","2","3","3","2","3","2","2","3","4","4","4","5","4","4","4"
"44","1","36","1","1","2","13.00","1","3","4","3","3","4","4","4","4","4","5","4","4","4","4","4","4","3","4","5","4","4","4","4","4","4","4","4","5","4","4","5","4","4","4","4","4","4","4","4"
"45","1","59","1","1","1","32.00","2","5","5","5","2","3","2","3","1","4","1","1","2","2","5","2","4","3","2","1","2","4","3","2","3","4","4","4","3","3","3","3","2","2","2","1","2","1","2","1"
"46","1","28","1","1","1","5.00","1","3","4","4","4","2","4","4","3","2","4","4","4","5","5","5","4","4","5","5","4","5","5","5","5","5","4","4","4","3","4","4","2","4","4","1","4","2","4","2"
"47","1","52","1","1","2","12.00","1","5","4","2","2","2","2","4","4","4","2","3","2","2","2","2","2","2","2","2","3","2","2","2","2","2","4","3","2","3","2","2","2","2","2","4","4","4","4","5"
"48","2","31","1","1","1","2.00","1","4","4","4","3","4","4","4","4","4","4","4","5","4","5","4","4","4","3","4","4","4","5","5","4","4","4","4","4","4","4","3","4","3","4","1","2","2","2","2"
"49","1","58","1","2","2","30.00","1","5","4","5","3","3","4","4","4","4","2","2","2","5","2","4","4","3","4","2","2","3","3","3","1","3","3","2","3","3","3","3","2","3","4","5","4","3","3","2"
"50","1","34","3","1","1","9.00","1","4","4","5","4","4","4","4","4","4","4","5","4","4","4","5","5","4","5","5","4","4","4","5","4","5","4","4","4","4","4","4","4","4","4","4","4","5","2","3"
"51","1","24","2","1","2","1.00","2","5","2","1","1","3","3","2","1","3","3","3","3","1","4","3","3","2","2","3","3","4","2","2","2","3","1","4","2","2","4","4","3","3","4","2","3","3","3","3"
"52","2","37","1","1","1","5.00","2","5","3","2","3","3","2","3","3","4","4","1","2","2","1","2","1","1","3","2","3","3","3","4","3","2","4","2","3","3","4","4","3","3","4","3","3","1","3","2"
"53","1","28","2","1","1","2.00","1","3","4","4","4","3","4","4","4","5","4","4","4","4","4","4","4","2","3","2","3","5","3","4","4","4","4","3","4","4","4","3","4","4","3","2","4","3","2","2"
"54","1","44","1","1","3","15.00","1","4","4","4","5","3","4","4","4","4","4","4","3","4","4","3","3","4","4","3","4","3","4","3","4","3","4","4","3","4","4","5","4","3","3","2","3","2","3","3"
"55","2","50","1","2","1","20.00","2","3","4","3","3","3","3","3","3","3","3","3","3","2","2","1","2","1","1","2","3","3","2","2","3","2","3","3","3","3","3","3","4","4","2","2","5","3","3","1"
"56","2","52","1","1","2","10.00","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","4","4","4","4","5","4","4","4"
"57","1","58","1","1","1","38.00","1","1","1","4","4","4","4","3","3","1","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","3","4","5","4","3","4","4","4","4","4","2","3","4","4","2"
"58","1","54","2","2","1","3.00","2","2","4","2","2","2","1","3","1","4","2","2","4","2","4","3","1","1","1","1","4","3","4","3","4","2","5","4","3","3","3","2","2","2","2","2","2","2","2","4"
"59","1","55","1","1","1","30.00","2","5","4","4","4","2","3","2","5","1","1","4","4","2","5","4","4","3","3","3","4","5","3","4","3","3","5","4","3","3","4","5","3","2","2","1","3","3","3","2"
"60","1","24","1","1","1","6.00","2","5","5","5","4","5","5","4","3","4","4","3","4","3","5","2","4","1","2","4","4","5","5","4","3","4","4","4","5","3","4","4","4","5","3","1","3","1","2","1"
"61","1","40","1","1","2","6.00","1","5","3","3","4","4","3","3","4","5","4","2","3","3","4","3","3","2","4","4","2","4","4","4","4","4","4","3","3","3","4","4","3","3","2","2","2","2","2","3"
"62","1","42","1","1","2","2.00","1","3","3","3","1","2","3","3","3","3","2","1","4","3","3","4","1","2","2","1","4","4","3","4","3","4","2","4","2","3","3","3","3","3","2","5","3","1","3","4"
"63","2","26","1","2","1","3.00","1","1","1","1","1","2","2","2","3","3","5","2","4","1","2","2","3","1","3","3","3","2","2","4","5","4","4","4","5","1","1","4","1","2","3","1","2","3","4","5"
"64","1","32","1","1","3","10.00","2","2","4","3","4","2","3","4","2","2","2","2","3","2","2","3","2","2","2","2","4","4","3","3","3","4","3","4","4","3","4","4","4","4","3","2","3","2","3","2"
"65","1","56","1","1","1","1.00","1","5","4","2","3","2","2","3","1","3","3","3","3","3","2","2","2","2","3","3","3","3","2","3","3","3","3","2","2","3","3","3","3","2","3","4","4","4","3","4"
"66","2","33","1","1","1","1.00","1","1","3","4","3","3","3","2","4","4","4","4","4","4","3","3","4","3","3","3","3","4","4","3","3","3","3","3","3","2","3","3","4","4","3","2","2","2","2","2"
"67","1","43","1","1","1","7.00","2","3","5","4","4","4","3","4","4","5","3","3","4","3","3","3","4","5","3","4","5","4","4","4","4","4","4","4","4","4","4","5","4","4","4","3","4","3","3","3"
"68","1","34","1","1","2","10.00","1","2","4","3","4","4","3","3","4","4","3","4","4","4","3","3","3","3","3","3","4","3","3","4","4","3","4","5","4","4","4","4","3","3","4","2","3","3","3","3"
"69","1","53","1","1","1","7.00","1","3","1","2","1","1","1","1","1","1","1","3","3","1","5","3","4","1","1","1","3","2","1","1","1","1","2","3","3","3","3","4","3","3","3","3","5","1","4","3"
"70","2","19","2","1","1","0.02","2","5","3","5","4","4","3","4","3","5","3","4","4","3","5","4","5","2","3","4","4","4","4","4","4","4","4","5","5","4","5","5","3","3","4","2","5","5","5","3"
"71","2","25","1","1","1","4.00","1","2","4","4","3","5","3","4","3","3","4","2","4","1","2","2","1","1","1","1","3","2","1","1","3","2","4","3","3","2","3","2","5","5","5","4","4","4","2","2"
"72","1","50","1","1","1","8.00","1","3","5","5","5","5","5","5","5","5","5","5","5","5","5","2","5","1","1","4","5","5","5","1","5","5","5","5","5","4","5","5","4","5","4","1","4","3","3","2"
"73","1","44","1","1","2","5.00","1","5","5","4","5","3","3","4","4","5","5","4","4","4","4","3","4","2","2","2","4","4","4","4","4","4","4","4","3","3","3","4","4","4","2","1","2","1","1","1"
"74","2","25","2","2","1","1.00","1","1","3","3","3","3","4","3","3","2","3","4","3","3","3","3","3","4","3","4","4","4","4","3","4","4","3","4","3","3","3","4","4","3","3","4","3","3","3","3"
"75","2","52","1","1","1","2.00","1","5","5","5","4","5","4","5","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","3","3","3","4","4","4","3","4","3","3","2"
"76","1","38","1","1","2","13.00","1","2","2","5","5","4","5","1","1","4","4","4","4","5","4","4","4","5","4","3","3","5","5","2","5","4","2","5","5","4","4","3","5","4","4","3","4","3","4","3"
"77","2","49","1","1","1","14.00","2","5","4","4","3","4","3","3","2","4","2","4","4","1","4","2","4","1","1","2","4","2","4","3","3","4","4","3","2","3","3","4","2","2","2","2","4","4","4","3"
"78","1","40","1","1","2","10.00","1","5","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","4","4","4","2","2","2","2","2"
"79","1","31","1","1","1","9.00","1","2","5","4","4","4","3","4","3","1","3","4","4","3","3","4","3","2","3","2","4","4","3","3","4","4","3","4","3","3","4","4","4","5","4","2","4","3","3","3"
"80","1","57","1","1","2","12.00","1","2","4","5","4","4","4","4","4","4","5","5","5","5","4","4","4","3","4","4","5","5","4","4","4","5","4","4","4","4","4","4","4","4","4","2","2","2","1","2"
"81","2","50","1","1","1","2.00","1","3","4","4","3","2","3","4","4","1","3","3","3","4","3","3","4","2","3","2","4","2","4","2","3","3","4","4","4","4","2","3","4","4","3","2","2","2","2","2"
"82","1","43","1","1","3","","2","1","3","4","3","2","2","3","3","1","4","2","1","2","2","1","2","1","1","2","4","5","3","2","2","3","4","3","4","3","4","3","4","3","5","4","3","4","3","4"
"83","1","50","1","1","2","25.00","2","3","5","4","3","4","2","3","2","2","2","4","4","3","4","4","3","2","2","2","3","3","3","2","4","3","2","4","4","1","3","2","3","4","3","4","4","4","4","3"
"84","2","52","1","2","1","20.00","1","1","2","2","2","2","2","2","4","1","2","3","3","3","4","3","2","1","1","2","4","2","2","3","2","2","3","3","3","2","2","2","1","1","1","4","4","4","4","5"
"85","2","40","1","1","1","20.00","2","5","4","2","2","3","2","3","1","2","2","2","2","2","2","2","2","2","2","2","2","3","1","2","3","3","1","3","2","1","3","2","4","4","2","1","4","2","3","2"
"86","1","44","1","1","2","20.00","2","4","5","4","4","4","2","4","2","1","2","4","4","4","5","4","5","4","4","4","4","5","4","4","4","4","4","4","2","2","1","2","2","4","3","2","2","4","3","2"
"87","2","48","1","1","1","1.00","1","1","2","2","3","1","1","2","4","2","4","2","2","1","3","2","4","1","1","1","2","2","4","1","2","1","3","3","3","1","1","1","4","4","3","3","4","4","3","3"
"88","2","52","1","2","1","11.00","2","3","5","3","3","3","3","5","5","3","3","3","3","3","3","3","4","3","3","2","3","3","3","3","3","3","3","3","3","5","3","3","3","3","3","1","1","1","1","3"
"89","2","33","1","1","3","5.00","1","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","2","2","2","2"
"90","1","35","1","1","3","5.00","1","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","2","2","2","2"
"91","1","19","1","1","1","1.00","1","1","1","1","1","1","1","1","1","1","1","3","1","3","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","4","2","1","4","4","4","4","5"
"92","1","27","1","1","1","0.42","3","5","5","5","5","5","5","5","4","5","4","4","5","4","4","4","4","4","2","3","4","4","2","5","4","5","4","5","4","3","4","4","3","2","2","1","2","1","2","2"
"93","1","51","1","1","2","30.00","2","3","4","4","4","4","4","4","3","5","5","4","4","4","4","5","4","2","2","2","4","4","4","3","4","4","4","4","3","4","4","4","5","5","3","1","1","1","1","1"
"94","2","29","1","1","1","3.00","1","2","4","3","2","3","2","3","3","1","3","4","4","2","3","3","3","1","2","2","4","4","2","3","2","2","3","3","3","4","3","4","2","2","2","2","3","2","2","2"
"95","1","59","1","1","2","35.00","1","4","1","3","3","4","3","1","3","2","1","5","3","3","2","1","3","1","1","1","3","3","2","3","3","3","2","4","3","3","3","1","4","4","3","3","3","3","3","2"
"96","2","27","2","1","1","0.75","1","1","4","4","3","4","3","3","4","1","5","5","4","4","4","4","4","4","4","4","5","4","4","3","3","3","3","4","3","4","4","4","4","5","3","1","3","2","2","2"
"97","1","42","1","1","1","10.00","2","5","4","4","4","2","1","2","2","3","1","1","1","1","2","2","1","4","1","2","5","2","2","1","1","1","2","3","1","4","5","4","2","2","2","3","4","4","4","4"
"98","2","44","1","1","2","5.00","1","5","3","3","3","3","3","3","3","4","3","3","3","2","3","2","3","2","2","2","3","3","3","3","3","3","3","3","2","3","3","3","3","3","4","3","3","3","3","4"
"99","2","57","2","2","1","8.00","1","1","2","4","3","3","4","2","3","1","4","4","4","4","4","4","4","3","4","4","4","3","4","4","3","4","4","4","3","2","3","4","4","4","4","1","2","2","2","2"
"100","1","56","1","1","1","30.00","2","5","4","3","4","3","3","4","4","5","5","3","3","3","3","3","4","3","4","3","3","3","3","3","3","3","3","4","3","3","3","3","2","2","2","2","2","2","2","4"
"101","2","35","1","1","1","3.00","2","3","4","3","3","3","2","4","4","4","4","3","2","3","4","3","3","3","3","3","3","3","3","4","4","4","3","4","3","3","3","3","1","2","2","3","4","4","3","4"
"102","2","53","2","1","1","2.00","2","5","4","4","4","3","5","5","4","5","5","4","4","4","5","4","5","3","3","5","4","4","5","4","4","4","3","5","5","4","4","4","4","2","1","1","1","2","1","2"
"103","1","44","1","1","1","15.00","1","5","3","3","3","4","2","2","2","3","2","2","4","3","3","2","2","2","2","2","2","4","3","2","3","3","4","3","4","3","3","3","4","4","4","3","5","4","4","4"
"104","1","48","1","1","1","17.00","2","3","2","3","2","2","2","3","3","1","2","4","4","3","4","4","4","3","4","4","3","2","3","4","3","2","3","4","3","1","1","1","3","3","3","2","3","3","2","2"
"105","2","55","1","1","1","18.00","1","3","4","3","2","3","2","2","1","1","2","2","1","2","2","2","2","2","2","2","3","1","2","2","1","2","3","3","1","2","1","2","2","1","1","2","3","4","4","3"
"106","1","33","1","1","3","11.00","1","3","4","4","4","5","4","4","4","4","5","4","4","4","4","4","5","4","5","5","5","4","4","4","4","4","5","4","5","4","4","4","4","4","5","4","4","4","3","4"
"107","1","49","1","1","1","10.00","1","3","4","4","3","4","4","4","4","5","4","4","4","4","4","3","4","3","3","3","4","4","4","3","4","3","4","4","4","4","4","4","3","4","3","2","2","2","2","2"
"108","1","41","1","1","1","2.00","2","5","4","4","5","4","3","4","3","1","2","2","4","2","4","4","4","4","2","4","2","3","2","5","4","3","4","4","4","4","4","5","4","4","5","1","2","2","2","4"
"109","2","22","1","1","1","2.67","1","3","5","5","4","4","4","4","5","5","5","5","4","5","3","3","3","2","3","3","5","5","4","3","4","4","3","5","4","4","5","5","4","3","3","2","3","3","2","3"
"110","2","41","1","1","1","16.00","1","5","4","4","2","3","3","4","2","5","4","4","2","4","1","2","4","2","2","2","2","1","2","4","4","4","5","2","4","3","3","4","4","4","2","1","1","2","1","1"
"111","2","39","2","2","1","0.50","2","3","1","2","2","1","1","1","3","3","2","3","2","1","1","3","1","1","1","1","2","1","1","2","1","2","3","3","4","2","3","1","3","2","1","1","2","2","1","3"
"112","1","36","1","1","1","10.00","2","1","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"113","1","60","1","1","2","28.00","1","2","4","5","5","4","5","5","3","1","2","5","4","4","5","4","5","3","3","3","5","5","4","5","5","3","5","4","5","3","3","4","5","5","5","1","3","1","3","1"
"114","1","26","1","1","1","2.00","1","2","4","3","5","5","3","3","1","1","2","4","3","4","4","4","5","2","3","3","4","5","5","3","3","3","5","4","5","3","4","1","2","2","3","1","4","4","3","2"
"115","1","43","1","1","1","12.00","2","2","3","2","4","2","2","3","4","5","4","2","2","2","4","2","2","2","2","2","2","1","1","2","2","2","4","4","2","3","1","2","1","1","1","2","4","4","4","3"
"116","2","42","1","1","1","5.00","1","2","4","2","4","4","4","4","4","2","4","4","4","4","4","4","4","2","2","2","4","4","4","4","4","4","4","4","2","2","1","2","4","2","2","1","2","1","1","1"
"117","2","55","1","1","1","24.00","2","5","4","2","4","2","2","3","3","4","2","2","2","2","2","2","2","1","2","2","3","3","2","2","3","3","4","3","3","3","3","3","2","3","3","3","4","5","4","3"
"118","1","48","1","1","2","8.00","2","5","5","4","4","4","4","4","3","5","3","4","3","2","5","3","3","3","3","3","4","4","3","3","4","3","5","3","4","4","5","3","4","4","3","1","2","1","3","2"
"119","1","52","1","1","1","28.00","2","5","3","4","5","3","1","3","2","1","4","4","4","5","5","1","5","1","1","3","4","4","3","3","3","4","4","3","3","2","3","3","4","4","4","4","5","4","4","3"
"120","2","50","1","1","2","15.00","2","5","1","5","5","5","4","1","1","5","5","4","4","2","4","4","2","5","4","4","5","5","5","5","5","5","1","5","5","1","2","5","4","5","5","1","4","1","1","1"
"121","1","34","1","1","2","12.00","1","5","4","5","4","5","4","5","4","5","4","5","4","4","4","4","4","3","3","4","5","5","4","5","4","3","4","4","4","3","4","5","4","4","3","1","2","1","1","1"
"122","2","30","1","1","1","10.00","1","2","3","4","3","3","4","4","3","2","3","3","4","3","3","2","3","2","2","3","3","4","4","3","3","4","3","4","3","3","3","3","4","3","3","2","2","2","2","2"
"123","2","41","1","1","2","5.00","3","2","5","3","5","3","4","5","5","4","4","5","5","5","3","3","3","4","3","4","3","3","5","3","4","2","5","4","3","3","5","3","3","3","4","2","3","3","3","2"
"124","1","44","1","1","2","20.00","2","5","4","3","3","2","3","2","1","1","1","2","4","3","4","3","4","2","2","3","4","4","2","2","4","3","3","3","4","2","4","2","3","3","4","3","3","4","3","5"
"125","2","46","1","1","1","7.00","1","3","3","3","3","3","1","2","1","1","1","2","2","3","2","2","1","2","1","2","3","1","3","1","3","1","2","3","3","3","4","3","3","4","3","3","4","3","4","4"
"126","2","51","1","1","1","32.00","2","5","4","4","4","3","3","1","2","3","3","3","4","4","5","4","5","5","4","4","4","4","3","4","3","4","3","4","3","3","4","4","4","4","4","2","3","3","3","2"
"127","1","26","1","1","2","1.00","1","3","4","5","3","1","4","3","5","4","5","2","4","4","3","3","2","3","4","4","3","3","3","4","5","4","3","3","4","4","2","3","4","3","4","4","4","4","3","5"
"128","2","29","1","1","1","4.00","1","1","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","1","5","1","1","1"
"129","1","25","1","1","2","4.00","1","5","5","4","4","4","5","4","4","4","4","5","5","5","5","4","5","2","3","4","5","4","5","2","4","5","5","5","5","2","4","4","2","2","1","3","2","4","4","3"
"130","1","51","1","1","1","20.00","1","1","4","4","1","2","4","5","4","1","4","4","4","4","4","4","4","4","3","4","3","4","3","2","3","3","3","4","3","2","2","4","4","4","4","2","4","3","4","3"
"131","2","31","1","1","2","3.00","1","4","2","1","1","2","2","1","2","2","1","2","2","1","2","2","2","1","2","2","2","1","1","2","2","2","2","1","1","1","1","2","1","2","2","5","5","5","5","5"
"132","1","35","1","1","1","9.00","1","5","5","3","5","5","3","4","4","5","2","3","4","2","4","3","1","1","2","4","4","4","4","3","3","4","3","4","5","2","4","5","3","3","4","3","4","3","4","4"
"133","1","40","2","1","1","0.08","1","3","4","4","5","5","5","5","4","4","4","4","4","5","5","5","5","4","4","4","4","5","5","5","5","4","5","4","5","4","4","5","5","5","4","1","3","2","1","1"
"134","1","46","1","1","3","18.00","1","5","4","4","4","5","4","4","3","4","3","5","4","4","5","4","5","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","2","1","1","1"
"135","1","48","1","1","1","7.00","1","2","4","4","5","4","5","4","4","4","4","4","4","4","4","5","4","5","5","5","4","4","5","5","4","5","4","4","4","5","4","5","5","5","5","4","5","4","5","5"
"136","1","43","1","1","2","10.00","1","5","4","4","4","2","4","2","4","5","4","4","4","4","2","2","4","2","2","2","4","4","2","4","4","4","2","2","1","2","2","4","4","4","2","2","3","2","2","2"
"137","2","58","1","1","1","38.00","1","2","4","4","4","4","4","4","2","2","2","4","4","4","4","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","2","4","2","2","2"
"138","2","28","1","2","1","8.00","1","1","1","1","1","1","1","1","4","1","4","5","4","4","4","4","3","3","2","2","2","1","2","3","1","1","3","3","3","1","1","1","3","4","2","1","2","4","1","1"
"139","1","44","1","1","1","1.00","1","3","2","2","4","2","4","4","4","4","4","2","3","2","2","2","2","2","2","2","2","2","4","2","4","2","4","3","2","4","4","4","2","4","4","4","4","4","4","5"
"140","2","43","1","1","2","18.00","1","5","4","4","4","4","4","4","3","1","4","4","4","4","4","4","4","3","3","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","4","1","1","1","1","1"
